

# FONLL heavy quark hadroproduction cross section, calculated on Mon Feb  3 13:28:04 CET 2025
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 0.405
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 99.5
# ymin  = -0.5
# ymax  = 0.5
# cross section is ds/dpt (pb/GeV)
pt      central
   0.5000 1.0382e+06
   1.5000 2.5722e+06
   2.5000 3.2414e+06
   3.5000 3.2482e+06
   4.5000 2.8727e+06
   5.5000 2.3592e+06
   6.5000 1.8601e+06
   7.5000 1.4385e+06
   8.5000 1.1054e+06
   9.5000 8.5036e+05
  10.5000 6.5742e+05
  11.5000 5.1191e+05
  12.5000 4.0186e+05
  13.5000 3.1800e+05
  14.5000 2.5381e+05
  15.5000 2.0418e+05
  16.5000 1.6547e+05
  17.5000 1.3506e+05
  18.5000 1.1102e+05
  19.5000 9.1835e+04
  20.5000 7.6424e+04
  21.5000 6.3964e+04
  22.5000 5.3828e+04
  23.5000 4.5526e+04
  24.5000 3.8688e+04
  25.5000 3.3026e+04
  26.5000 2.8314e+04
  27.5000 2.4374e+04
  28.5000 2.1064e+04
  29.5000 1.8270e+04
  30.5000 1.5902e+04
  31.5000 1.3887e+04
  32.5000 1.2166e+04
  33.5000 1.0691e+04
  34.5000 9.4219e+03
  35.5000 8.3269e+03
  36.5000 7.3788e+03
  37.5000 6.5554e+03
  38.5000 5.8381e+03
  39.5000 5.2114e+03
  40.5000 4.6626e+03
  41.5000 4.1806e+03
  42.5000 3.7564e+03
  43.5000 3.3822e+03
  44.5000 3.0512e+03
  45.5000 2.7577e+03
  46.5000 2.4969e+03
  47.5000 2.2647e+03
  48.5000 2.0574e+03
  49.5000 1.8722e+03
  50.5000 1.7062e+03
  51.5000 1.5574e+03
  52.5000 1.4236e+03
  53.5000 1.3032e+03
  54.5000 1.1946e+03
  55.5000 1.0966e+03
  56.5000 1.0079e+03
  57.5000 9.2751e+02
  58.5000 8.5460e+02
  59.5000 7.8834e+02
  60.5000 7.2806e+02
  61.5000 6.7313e+02
  62.5000 6.2302e+02
  63.5000 5.7725e+02
  64.5000 5.3538e+02
  65.5000 4.9704e+02
  66.5000 4.6189e+02
  67.5000 4.2963e+02
  68.5000 3.9999e+02
  69.5000 3.7272e+02
  70.5000 3.4761e+02
  71.5000 3.2447e+02
  72.5000 3.0312e+02
  73.5000 2.8340e+02
  74.5000 2.6517e+02
  75.5000 2.4830e+02
  76.5000 2.3268e+02
  77.5000 2.1820e+02
  78.5000 2.0477e+02
  79.5000 1.9230e+02
  80.5000 1.8071e+02
  81.5000 1.6993e+02
  82.5000 1.5990e+02
  83.5000 1.5056e+02
  84.5000 1.4185e+02
  85.5000 1.3373e+02
  86.5000 1.2615e+02
  87.5000 1.1907e+02
  88.5000 1.1245e+02
  89.5000 1.0625e+02
  90.5000 1.0046e+02
  91.5000 9.5034e+01
  92.5000 8.9949e+01
  93.5000 8.5180e+01
  94.5000 8.0703e+01
  95.5000 7.6499e+01
  96.5000 7.2549e+01
  97.5000 6.8834e+01
  98.5000 6.5340e+01
  99.5000 6.2050e+01

